,Source,Type Level 4,altLabels,Definition,Dimension,Type Level 1,Type Level 2,Type Level 3,unique_id,name,name+definition
0,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,Haskell,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1000,Haskell,"Haskell : the techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in haskell."
2,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,develop energy saving concepts,"developing concepts for energy saving
developing energy saving concepts
develop energy saving concepts
develop concepts for energy saving
create concepts for energy saving
creating energy saving concepts
energy saving concepts creating
create energy saving concepts
creating concepts for energy saving
energy saving concepts developing","Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.",skills,management skills,developing objectives and strategies,developing operational policies and procedures,1001,develop energy saving concepts,"develop energy saving concepts : use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials."
4,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,conduct research on flora,"carry out research on flora
flora research
conduct research on flora
perform research on flora
run research on flora
research on flora","Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.",skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,1002,conduct research on flora,"conduct research on flora : collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function."
5,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,Incremental development,Incremental development,The incremental development model is a methodology to design software systems and applications.,knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1003,Incremental development,Incremental development : the incremental development model is a methodology to design software systems and applications.
7,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,develop terminology databases,"define terminology databases prepare terminology databases
write terminology databases
compile terminology databases
developing terminology databases
develop terminology databases
developing terminology database
draw up terminology databases
populate terminology databases
develop terminology database",Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.,skills,information skills,managing information,managing information,1004,develop terminology databases,develop terminology databases : collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.
9,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,"KDevelop 4.7.0
KDevelop 4.6.0
KDevelop 4.0.0
KDevelop
KDevelop 5.0.0","The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1005,KDevelop,"KDevelop : the computer program kdevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. it is developed by the software community kde."
11,http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,assess railway operations,"appraise railway operations
assess railway operations
evaluate railway operations
conduct review of railway performance
conduct analysis of railway operations
analyse railway operations
conduct evaluation of railway performance
conduct study on railway operations and performance
review railway operations","Review and study existing railroad equipment, facilities, systems and processes in order to improve railway safety and efficiency, increase quality, and reduce costs.",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1006,assess railway operations,"assess railway operations : review and study existing railroad equipment, facilities, systems and processes in order to improve railway safety and efficiency, increase quality, and reduce costs."
12,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,perform a feasibility study for building management systems,carry out bms feasibility study,"Perform the evaluation and assessment of the potential of a building management system. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making.",skills,information skills,analysing and evaluating information and data,analysing business operations,1007,perform a feasibility study for building management systems,"perform a feasibility study for building management systems : perform the evaluation and assessment of the potential of a building management system. realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making."
14,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (learning management systems),Absorb,"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1008,Absorb (learning management systems),"Absorb (learning management systems) : the learning system absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students."
16,http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f,analyse the artistic concept based on stage actions,"analyze  the artistic concept based on stage actions
examine a performance's artistic concept according to stage movements
analyse the artistic concept of a performance during rehearsals
analyse artistic concept stage action
analyse  the artistic concept based on actions on stage","Analyse the artistic concept, form and structure of a live performance based on observation during rehearsals or improvisation. Create a structured base for the design process of a specific production.",skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,1009,analyse the artistic concept based on stage actions,"analyse the artistic concept based on stage actions : analyse the artistic concept, form and structure of a live performance based on observation during rehearsals or improvisation. create a structured base for the design process of a specific production."
